trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,min_C_cwt_coefficients,max_C_abs_energy,max_C_fft_aggregated,max_C_number_crossing_m,daily_precipitation_spkt_welch_density,daily_precipitation_time_reversal_asymmetry_statistic,SO2_autocorrelation,SO2_cid_ce,SO2_last_location_of_minimum,SO2_spkt_welch_density,SO2_time_reversal_asymmetry_statistic,NO2_autocorrelation,NO2_cid_ce,NO2_spkt_welch_density,NO2_time_reversal_asymmetry_statistic,CO_cid_ce,CO_last_location_of_minimum,CO_spkt_welch_density,CO_time_reversal_asymmetry_statistic,PM2_5_cid_ce,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
0.22503097,-0.030853506,-0.018240927,0.0,0.0,0.27633572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32683283,1.7461134,0.080616996,1.2739336,0.0,-0.6144582,0.034959223,-0.011896815,0.24100272,0.10184937,0.5848043,0.13168433,-0.13181573,0.47043803,0.055756122,-2.3024867,2.0657923,-2.2340257,0.6441715,-1.8347405,0.63501006,5.3908973,3.9513633,1.4162143,-0.092772186,0.086531825,-0.46430734,0.0,0.017833594,0.0034895015,0.19148323,0.22156027,-0.026995186,0.337657,0.13534175,0.50077814,0.12494765,-5.428397
0.27565604,-0.030853506,-0.030016422,0.0,0.0,-0.014627757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32683283,1.4202734,0.08331898,2.037777,0.0,-2.0959082,0.041510884,-0.019741368,0.29453778,-0.26469675,0.027840037,0.17341504,0.05816998,-0.04006455,-0.31176317,-2.9488256,0.6735179,-1.1629372,0.26959267,-2.8645847,0.52210563,4.5422225,3.4378064,1.340808,0.6513058,-0.13226059,1.6822091,0.0,0.030447721,-0.0044090333,0.49893835,0.23913957,-0.039184157,0.47016883,0.13534175,0.06298657,0.11356352,2.6229737
0.1672901,-0.030853506,-0.017021466,0.0,0.0,0.004239956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32683283,1.7301018,0.073241316,1.3874116,0.0,-2.1702144,0.034213874,-0.010064704,-0.1606817,0.35392213,0.042842533,0.16225608,0.28134716,-0.040894978,-0.16391084,-2.9414752,0.6301498,-1.7565038,-0.29735255,-2.856547,-0.6390548,4.3227754,3.9284246,0.7031796,-0.65477544,0.008073462,1.9783827,0.0,0.030447721,-0.0044090333,0.28745568,0.18902548,-0.018560272,0.39979964,0.15813209,0.06298657,0.28850535,1.6100475
0.0888364,-0.030853506,-0.03508769,0.0,0.0,0.23548526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28933832,0.68680865,0.08098814,0.77373004,0.0,0.2576351,0.034213874,-0.010064704,-0.13288051,0.11844193,-0.006884992,0.08491486,0.36510134,0.057868235,-0.15413278,-2.9752533,0.21291968,-2.0039499,-0.53042245,-3.2564993,-0.5822128,4.143385,2.9437454,0.425882,-1.0387082,0.030577322,-1.2600569,0.0,0.030447721,0.0034895015,0.17400253,0.17101772,0.027184803,0.337657,-0.07377633,0.07432943,0.3811301,1.8173562
0.0888364,-0.01158857,-0.03508769,0.0,0.0,-0.3669496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2569298,0.0026263562,0.1119326,0.9821326,0.0,1.1534451,0.041510884,-0.014788114,0.1259808,-0.14351666,-0.17795739,-0.9870851,0.40108132,0.043162458,-0.16763878,-0.91713977,0.028355489,-1.5005289,-0.4667275,-3.0882914,0.7878256,-0.26768038,1.0287505,0.41795167,-1.697568,0.016418144,-1.0163078,0.0,0.030447721,-0.024439497,0.050661143,0.23446031,-0.018560272,0.086514674,-0.07377633,0.07432943,0.04742902,2.8717363
0.0888364,-0.030853506,-0.03508769,0.0,0.0,-0.22940835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28933832,0.82957345,0.08858673,0.2636745,0.0,0.74959266,0.041510884,-0.014788114,0.19237399,-0.09962156,0.5162358,-0.86886895,0.15450938,0.043162458,-0.045391366,-2.838552,-0.24472506,-0.8890482,0.32573947,-3.0961432,0.4859016,4.069908,3.2416234,0.44045827,0.6392968,-0.021138964,-1.1474618,0.0,0.030447721,-0.024439497,0.06594357,0.1787117,0.027184803,0.337657,-0.07377633,0.06298657,-0.008150081,1.8230848
0.0888364,-0.030853506,-0.031850822,0.0,0.0,0.6083397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32683283,3.0686493,0.1119326,-0.703524,0.0,0.61696064,0.041510884,-0.056875236,0.5325549,-0.1489289,0.7374506,-0.13710088,-0.17424779,0.0699053,-0.04927512,-2.9495666,-0.32848057,1.6728195,0.48571387,-6.1780534,0.91451323,-0.31592193,4.7477355,0.544699,0.23225968,-0.11846206,-1.1033767,0.0,0.030447721,0.013330634,-0.037508544,0.07348315,-0.048812572,0.18568833,-0.20116684,0.06298657,0.24433435,-2.4774237
0.32362217,-0.01158857,-0.01950893,0.0,0.0,-0.6269875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37755418,3.9799278,0.07880389,1.1230142,0.0,0.5720432,0.031599086,-0.06782641,0.52915704,0.113151245,1.1653179,-0.40168732,0.6135595,0.02853508,-0.21918479,0.6420002,2.874834,2.2259958,0.44795892,-0.34821653,0.32748508,-0.12959485,-0.5910075,2.255813,-0.5100279,0.22076674,-0.39067537,0.0,0.017833594,0.013330634,0.22112694,0.39742664,-0.048812572,0.10330026,0.096502215,0.512121,0.3191248,-9.469756
0.22206225,-0.030853506,-0.075899795,0.0,0.0,-0.061847344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21495368,3.4321523,0.078775905,1.0131983,0.0,1.2438439,0.034213874,-0.02573929,0.36331728,-0.176302,0.6301957,-0.3297682,0.015461998,-0.01857496,-0.258669,2.0587304,0.24581876,-2.9346983,0.40146068,-0.22371392,-0.69297814,4.7000546,5.451487,1.345583,-1.4253349,-0.050295234,2.3020656,0.0,0.030447721,-0.012076916,0.7160753,0.17534252,0.027184803,0.47016883,0.011373675,0.07432943,0.16422166,3.0757294
0.39750087,-0.030853506,-0.099173665,0.0,0.0,0.8178028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28933832,1.4628677,0.081758134,1.3060371,0.0,1.2263252,0.034213874,-0.010064704,0.28814116,0.50101274,0.63619184,0.08627811,0.18677309,-0.022391373,-0.0484781,1.1036843,0.050418906,-2.0551884,0.48039868,-5.632073,-0.6484522,4.4278173,5.561391,1.8337824,0.69644976,-0.042981282,2.458891,0.0,0.030447721,-0.00639742,0.5713355,0.26535544,0.027184803,0.4350698,-0.007140801,0.06298657,0.13004422,2.7194672
