date,ave_C,min_C,max_C,ave_ws,ave_rh,ave_hpa,daily_precipitation,SO2,NO2,CO,PM2_5,PM10,O38h,AQI,month,day,week
2013/2/19,0.186320755,0.259433962,0.166666667,0.227848101,0.890243902,0.579961464,0,0.264705882,0.236220472,0.013382117,0.139028476,0.111299192,0.134099617,0.197452229,0.090909091,0.6,0.166666667
2013/2/20,0.25,0.297169811,0.251111111,0.189873418,0.670731707,0.564547206,0,0.382352941,0.291338583,0.0158251,0.150753769,0.12210108,0.14559387,0.214437367,0.090909091,0.633333333,0.333333333
2013/2/21,0.301886792,0.313679245,0.34,0.151898734,0.609756098,0.585741811,0,0.464705882,0.385826772,0.02246187,0.209380235,0.174146542,0.229885057,0.316348195,0.090909091,0.666666667,0.5
2013/2/22,0.301886792,0.254716981,0.357777778,0.126582278,0.524390244,0.570327553,0,0.352941176,0.456692913,0.023398346,0.18760469,0.166290623,0.272030651,0.276008493,0.090909091,0.7,0.666666667
2013/2/23,0.323113208,0.318396226,0.368888889,0.139240506,0.402439024,0.518304432,0,0.417647059,0.543307087,0.028705048,0.32160804,0.259579658,0.260536398,0.47133758,0.090909091,0.733333333,0.833333333
2013/2/24,0.386792453,0.398584906,0.404444444,0.202531646,0.451219512,0.414258189,0,0.570588235,0.57480315,0.034473202,0.458961474,0.362688592,0.268199234,0.645435244,0.090909091,0.766666667,1
2013/2/25,0.360849057,0.382075472,0.344444444,0.126582278,0.573170732,0.458574181,0,0.594117647,0.566929134,0.037839089,0.469011725,0.352868693,0.114942529,0.658174098,0.090909091,0.8,0
2013/2/26,0.356132075,0.346698113,0.422222222,0.164556962,0.634146341,0.44894027,0,0.711764706,0.677165354,0.04633524,0.524288107,0.411788084,0.176245211,0.728237792,0.090909091,0.833333333,0.166666667
2013/2/27,0.396226415,0.393867925,0.431111111,0.202531646,0.512195122,0.366088632,0,0.588235294,0.614173228,0.040417793,0.502512563,0.414734054,0.298850575,0.700636943,0.090909091,0.866666667,0.333333333
2013/2/28,0.403301887,0.436320755,0.402222222,0.291139241,0.37804878,0.317919075,0,0.394117647,0.472440945,0.032830974,0.353433836,0.403932165,0.222222222,0.554140127,0.090909091,0.9,0.5
