date,K29.500,E14.900,I10.x00,E05.900,J40.x00,G47.900,J03.900,N18.900,E03.900,I63.900,R51.x00,E04.101,R42.x00,H10.900,F41.101,H52.701,J06.900,L30.902,Z00.001,I25.103,J39.900,E78.500,I10.x04,J18.000,F20.900,I25.101,I49.900,M81.901,N97.900,M25.500,N96.x00,F32.900,I70.900,F32.901,H35.900,R50.900,N04.900,F41.900,E28.200,N41.900,D69.000,I10  02,L70.900,K29.502,R21.x00,K52.916,Z49.201,L28.000,N39.000,N20.901,D64.900,K04.000,G40.901,C50.900,N46.x00,L50.900,M06.900,M32.900,E14.901,J30.400,K30.x00,K73.900,I63.801,L21.900,Z95.501,C34.900,I51.900,B07.x00,N02.801,R94.600,H66.900,N03.900,K52.905,N19.x03,J03.901,K59.000,K02.900,J31.200,B08.501,I10.x05,M45.x00,M13.900,L28.203,N19.x01,R10.400,K21.001,N39.001,E05.901,H81.901,N40.x00,I25.100,B02.900,J40  03,E07.900,F09.x00,R00.200,H26.900,J06.903,E83.503,B18.107
2014/7/15,154,129,81,113,40,44,60,84,55,27,59,39,30,95,19,81,34,32,27,43,33,20,29,14,39,24,12,33,7,41,15,26,6,24,20,7,25,17,16,34,6,0,37,0,19,13,36,25,7,18,13,36,10,18,16,25,26,24,0,31,24,2,7,17,5,9,17,6,20,4,17,10,8,9,7,22,7,10,12,1,11,4,13,12,14,0,10,2,5,10,17,8,0,27,16,18,11,0,5,10
2014/7/16,222,98,115,97,53,82,81,56,39,49,50,37,58,18,60,33,11,43,41,25,22,20,15,8,27,17,10,18,14,33,13,21,24,15,10,14,8,4,16,2,8,0,23,0,27,6,20,21,16,26,11,32,34,17,8,17,23,28,0,18,13,3,8,5,1,11,6,16,10,7,12,15,14,9,8,6,7,9,4,9,17,14,17,9,16,2,0,0,7,6,3,2,0,30,6,0,2,0,7,0
2014/7/17,100,138,115,164,42,55,72,43,49,65,48,71,51,48,39,52,22,34,39,44,28,29,28,12,40,9,21,28,7,39,12,17,27,15,12,23,17,20,9,14,24,0,18,0,18,23,12,24,30,11,4,12,10,12,10,17,15,17,0,14,9,7,0,18,2,11,12,10,18,11,7,14,8,14,11,8,6,5,6,5,19,4,14,4,6,0,5,0,6,6,0,4,0,27,10,15,11,0,7,25
2014/7/18,158,125,119,80,30,67,40,55,44,40,27,56,37,7,34,32,19,41,37,10,41,26,13,6,28,14,20,18,11,45,14,14,14,16,4,7,7,10,4,18,6,0,23,0,16,18,14,24,26,10,16,17,6,6,12,18,12,11,0,18,7,18,15,13,5,13,7,16,2,6,10,10,8,11,6,11,6,5,4,6,12,8,11,10,10,5,3,0,10,5,18,1,0,16,9,4,2,0,13,1
2014/7/19,134,152,108,135,78,50,47,57,62,32,40,51,24,44,71,38,29,42,30,26,17,33,20,18,22,21,27,19,13,32,15,12,11,19,47,12,10,3,12,12,1,0,14,0,22,21,5,20,23,6,20,6,15,9,19,9,9,10,0,19,14,4,12,9,4,8,5,18,6,15,6,19,1,11,4,9,2,16,10,2,10,33,23,12,3,4,5,0,9,6,0,8,0,15,7,1,5,0,15,0
2014/7/20,62,43,45,34,42,19,25,60,18,20,12,16,13,49,11,34,30,12,13,4,14,2,5,13,7,1,5,4,3,12,13,4,1,6,0,12,2,2,9,27,0,0,11,0,6,7,0,8,0,1,9,0,11,0,5,16,1,1,0,13,6,1,8,7,0,3,9,10,1,11,7,0,12,10,9,4,0,5,2,1,5,1,10,4,1,2,16,0,1,6,0,4,0,0,2,2,6,0,0,3
2014/7/21,0,1,0,0,18,0,67,2,0,2,4,0,2,3,0,0,16,0,4,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,8,0,0,0,1,13,0,0,8,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,7,0,10,0,0,0,5,0,0,0,1,0,9,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0
2014/7/22,171,132,104,154,56,45,79,56,47,26,37,21,20,81,41,86,29,34,24,45,32,39,6,19,27,18,13,27,13,42,18,30,10,11,21,18,26,19,11,33,16,0,22,0,17,12,38,19,11,25,10,32,11,20,12,18,17,20,0,13,19,9,16,7,8,9,6,13,16,8,19,7,8,4,8,13,12,7,2,11,25,22,9,12,14,3,0,0,5,6,18,13,0,27,7,5,17,0,8,19
2014/7/23,266,153,98,87,37,62,56,56,34,45,24,20,41,30,55,64,26,48,17,15,15,32,32,16,28,16,5,11,17,39,10,15,27,17,15,5,3,11,12,2,8,0,26,0,3,10,19,11,21,13,9,9,38,12,6,14,16,17,0,20,6,3,4,5,3,19,11,14,5,4,6,23,18,3,11,3,14,17,8,7,23,3,18,3,2,14,0,0,6,4,0,6,0,15,5,2,8,0,2,1
2014/7/24,67,156,109,126,40,71,59,46,63,43,26,59,27,37,36,45,11,24,9,40,40,9,26,12,34,3,14,12,8,29,8,12,16,16,7,13,25,22,4,31,26,0,16,0,11,7,9,19,17,14,5,5,7,21,7,17,19,11,0,19,14,20,7,16,8,12,9,10,31,9,6,7,8,22,8,1,8,14,6,4,14,11,5,4,14,0,5,0,3,3,0,8,0,24,16,4,2,0,0,26
2014/7/25,165,133,102,95,38,45,25,59,38,36,21,44,16,27,51,22,27,35,18,16,34,32,27,8,23,23,21,20,10,18,6,28,3,16,5,19,13,8,5,7,9,0,17,0,16,11,12,21,23,7,15,15,9,5,10,23,14,15,0,9,9,13,9,14,6,8,9,12,5,3,8,15,11,5,8,4,6,2,6,6,7,8,16,1,9,8,0,0,0,6,21,2,0,11,16,4,6,0,0,1
2014/7/26,148,105,75,89,30,69,31,73,36,41,43,32,22,32,29,53,28,37,38,15,38,17,27,15,14,5,7,18,20,25,12,10,11,11,40,7,10,9,10,17,1,0,17,0,11,4,6,23,12,3,20,6,24,19,14,18,9,5,0,19,34,2,12,16,7,9,16,12,3,8,4,20,3,14,4,5,19,7,3,11,7,7,17,2,3,0,7,0,7,7,1,9,0,10,5,6,2,0,1,0
2014/7/27,72,49,19,25,36,21,28,61,15,12,27,18,16,8,7,12,25,6,14,7,8,12,14,13,17,1,6,14,2,16,4,13,3,7,1,11,4,12,5,12,0,0,7,0,8,22,0,7,0,13,8,7,8,2,1,9,1,1,0,8,8,8,18,6,8,6,15,6,0,4,0,0,9,9,0,7,13,6,6,5,0,0,15,5,7,4,6,0,2,2,0,1,0,2,2,5,0,0,0,2
