date,ave_C,min_C,max_C,ave_ws,ave_rh
,19.2,16,27.1,3.6,82
,17.2,12.3,21.7,2.7,69
,19.5,16,22.8,2.1,57
,20.4,17.3,23.4,2.6,57
,23.9,16.7,33.7,1.7,47
,26.4,18.3,34.6,1.6,48
,27.2,20.3,34.8,2.1,47
,29.6,21.2,37.3,2.7,41
,29.1,23.8,35.1,3.9,41
,26.6,22.4,32.4,2.4,54
,27.8,21.2,34.2,2,47
,26.1,20.9,32.9,3.9,58
,18.1,16.8,20.9,3.7,88
,20.1,16.1,27.5,1.3,66
,21.4,15.1,28.3,2.2,52
,24.5,16,31.9,3,42
,27.7,20.7,34.1,3.9,40
,27.2,23.2,30.4,2.8,46
,29.1,22.6,35.4,3.4,46
,29.1,24.5,32.7,2.9,50
,30.5,25.1,36.7,2,53
,32.4,28.6,37,2.6,53
,29.3,25.9,33.1,5.7,59
,26.7,24,31.6,4.6,57
,23.4,21.7,26.3,2.6,75
,25.7,21.3,32,1.7,71
,27.8,23.7,32.3,1.8,55
,26.5,24,29.8,1.9,65
,28.5,22.1,36.2,1.9,54
,29.7,26.6,33.4,2.2,48
,30.5,22,39.3,2,42
,32.5,24.3,39.3,2.1,35
,31.8,26.5,37.2,4.4,41
,30.8,26.6,35.9,3.8,50
,31.1,27.7,36.2,2.9,58
,27.3,24.7,31.1,1.5,80
,29.7,24.5,36.7,1.6,70
,26.3,23.8,33.4,3.2,81
,29.1,24.1,36.5,2.5,67
,30.2,24.9,35.5,4.2,63
,30.9,26.5,36.6,4.1,61
,29.8,27.5,33.5,2.3,60
,26.9,22,31.1,2.1,69
,26.2,21.1,29.4,3.1,64
,27.8,23.6,33,2.4,62
,28.1,25.4,33.6,3.5,74
,25.6,23.5,29.2,2.8,87
,27.2,24.5,31.1,3.7,78
,25.8,23.9,29.7,3,77
,27.1,21.2,33.1,2.5,68
,26,24.6,30.3,2.5,78
,23.5,22.6,26,2.3,92
,25.4,22.5,29.2,1.1,79
,27.7,22.8,32.3,1.8,69
,27.1,24.5,30.1,4.7,75
,23.8,22.3,26.3,2.3,92
,24.8,21.2,30.3,2.2,80
,27.5,23.1,31.9,2.6,76
,28.6,25.1,33.2,1.7,80
,30,25.9,34,2.3,73
,29.6,26.3,33,3.3,68
,27.2,24.4,32.2,3,70
,24.8,21.3,27.4,1.2,78
,26.2,20.8,31.8,1.5,76
,28.7,23.3,35.7,1.7,66
,25.6,21.2,31.9,2.6,79
,27.8,23.5,32.5,2.2,78
,29.1,24.6,33.9,2.4,73
,30.7,25.9,35.8,2.2,63
,31.4,25.5,35.9,1.8,60
,31.7,26.9,36.7,2.1,61
,25.2,21.3,33.3,3,73
,22.8,20.4,27.1,2,84
,25.8,19.9,31.3,1.5,77
,28.9,23.1,34.4,2.2,68
,30.4,26.2,35.4,2.4,63
,27.7,23.3,32.6,3.4,68
,29.8,24.9,34.7,3,66
,31.1,26.4,36.6,3.5,64
,32.9,26.7,38,3.2,53
,32.1,28.8,37.9,1.3,55
,31,27.2,36.3,1.5,57
,29.7,24.7,34.4,3.1,53
,29.3,25.6,33.7,5.4,48
,28.4,24,32.7,4.2,49
,28.6,24,33.6,3.3,56
,29.6,25.3,34.5,3.5,58
,28.9,25.3,33.3,3.9,55
,28.4,25,32,2.4,58
,27.9,24,32.4,3,53
,27.6,23,32.5,3.8,58
,28,26.4,30.5,3.3,64
,22.8,20.1,28.6,3.2,84
,25.3,19.8,33.7,2.1,63
,25,21.4,29.5,2.7,47
,23.3,19.4,27.2,3.7,55
,25.1,20.3,30.2,2.8,56
,23.8,22.4,27.6,3.2,55
,23.4,19.1,28.4,2.2,64
,22.6,20.5,26.3,1.7,71
,22.7,18.6,27.7,2.2,64
